,title,year,runtime_minutes,genres,average_rating,domestic_gross,foreign_gross,total_gross,genre_1,genre_2,genre_3
2115,The Missing Picture,2013,92.0,Documentary,7.4,52200.0,0.0,52200.0,Documentary,,
904,The Monk,2011,101.0,"Drama,Mystery,Thriller",5.8,13500.0,794000.0,807500.0,Drama,Mystery,Thriller
905,The Monk,2014,93.0,Drama,7.2,13500.0,794000.0,807500.0,Drama,,
2933,The Monkey King 3,2018,114.0,"Action,Adventure,Fantasy",5.5,187000.0,114900000.0,115087000.0,Action,Adventure,Fantasy
1681,The Monuments Men,2014,118.0,"Comedy,Drama,History",6.1,78000000.0,77000000.0,155000000.0,Comedy,Drama,History
770,The Mortal Instruments: City of Bones,2013,130.0,"Action,Fantasy,Horror",5.9,31200000.0,64200000.0,95400000.0,Action,Fantasy,Horror
1728,The Mountain Between Us,2017,112.0,"Action,Adventure,Drama",6.4,30300000.0,32500000.0,62800000.0,Action,Adventure,Drama
91,The Mule,2013,100.0,"Comedy,Drama",6.2,103800000.0,68700000.0,172500000.0,Comedy,Drama,
93,The Mule,2018,116.0,"Crime,Drama,Thriller",7.1,103800000.0,68700000.0,172500000.0,Crime,Drama,Thriller
92,The Mule,2014,103.0,"Comedy,Crime,Drama",6.3,103800000.0,68700000.0,172500000.0,Comedy,Crime,Drama
302,The Muppets,2011,103.0,"Adventure,Comedy,Family",7.1,88600000.0,76600000.0,165200000.0,Adventure,Comedy,Family
2354,The Music of Strangers,2015,96.0,"Documentary,Music",7.7,1200000.0,0.0,1200000.0,Documentary,Music,
2276,The Mystery of Happiness,2014,92.0,"Comedy,Drama,Romance",6.1,8500.0,3200000.0,3208500.0,Comedy,Drama,Romance
275,The Myth of the American Sleepover,2010,96.0,"Comedy,Drama,Romance",6.3,41000.0,0.0,41000.0,Comedy,Drama,Romance
1007,The Names of Love,2010,100.0,"Comedy,Drama,Romance",7.2,514000.0,4099999.0,4613999.0,Comedy,Drama,Romance
2963,The Negotiation,2018,89.0,"Documentary,History,War",7.6,111000.0,0.0,111000.0,Documentary,History,War
2962,The Negotiation,2018,114.0,"Action,Crime,Thriller",6.5,111000.0,0.0,111000.0,Action,Crime,Thriller
1491,The Neon Demon,2016,117.0,"Horror,Thriller",6.2,1300000.0,0.0,1300000.0,Horror,Thriller,
2248,The New Girlfriend,2014,108.0,Drama,6.6,147000.0,0.0,147000.0,Drama,,
2814,The New Year's Eve of Old Lee,2016,106.0,Drama,4.6,25400.0,0.0,25400.0,Drama,,
668,The Next Three Days,2010,133.0,"Action,Crime,Drama",7.4,21100000.0,46300000.0,67400000.0,Action,Crime,Drama
2448,The Nice Guys,2016,116.0,"Action,Comedy,Crime",7.4,36300000.0,26500000.0,62800000.0,Action,Comedy,Crime
2347,The Night Before,2015,101.0,"Adventure,Comedy,Fantasy",6.4,43000000.0,9300000.0,52300000.0,Adventure,Comedy,Fantasy
2348,The Night Before,2017,81.0,Horror,4.7,43000000.0,9300000.0,52300000.0,Horror,,
2819,The Nile Hilton Incident,2017,111.0,"Crime,Drama,Thriller",6.8,81100.0,0.0,81100.0,Crime,Drama,Thriller
1917,The November Man,2014,108.0,"Action,Crime,Thriller",6.3,25000000.0,7500000.0,32500000.0,Action,Crime,Thriller
1718,The Nun,2013,112.0,Drama,6.5,117500000.0,248100000.0,365600000.0,Drama,,
1719,The Nun,2018,96.0,"Horror,Mystery,Thriller",5.4,117500000.0,248100000.0,365600000.0,Horror,Mystery,Thriller
1299,The Nut Job,2014,85.0,"Adventure,Animation,Comedy",5.7,64300000.0,56600000.0,120900000.0,Adventure,Animation,Comedy
2334,The Nut Job 2: Nutty by Nature,2017,91.0,"Adventure,Animation,Comedy",5.5,28400000.0,36800000.0,65200000.0,Adventure,Animation,Comedy
2817,The Nutcracker and the Four Realms,2018,99.0,"Adventure,Family,Fantasy",5.5,54900000.0,119100000.0,174000000.0,Adventure,Family,Fantasy
192,The Nutcracker in 3D,2010,110.0,"Action,Family,Fantasy",4.3,195000.0,16000000.0,16195000.0,Action,Family,Fantasy
674,The Odd Life of Timothy Green,2012,105.0,"Comedy,Drama,Family",6.6,51900000.0,4200000.0,56100000.0,Comedy,Drama,Family
2111,The Old Man & the Gun,2018,93.0,"Biography,Comedy,Crime",6.8,11300000.0,0.0,11300000.0,Biography,Comedy,Crime
2085,The One I Love,2014,91.0,"Drama,Fantasy,Mystery",7.1,513000.0,0.0,513000.0,Drama,Fantasy,Mystery
2535,The Ones Below,2015,87.0,"Drama,Thriller",6.1,12500.0,0.0,12500.0,Drama,Thriller,
40,The Only Living Boy in New York,2017,89.0,Drama,6.3,624000.0,1900000.0,2524000.0,Drama,,
438,The Oranges,2011,90.0,"Comedy,Drama,Romance",5.9,366000.0,0.0,366000.0,Comedy,Drama,Romance
2714,The Ornithologist,2016,117.0,"Adventure,Drama,Mystery",6.3,50500.0,0.0,50500.0,Adventure,Drama,Mystery
521,The Other Guys,2010,107.0,"Action,Comedy,Crime",6.7,119200000.0,51200000.0,170400000.0,Action,Comedy,Crime
1182,The Other Side,2018,138.0,"Comedy,Drama,Romance",5.6,8100.0,0.0,8100.0,Comedy,Drama,Romance
1181,The Other Side,2015,92.0,"Documentary,Drama",6.9,8100.0,0.0,8100.0,Documentary,Drama,
1180,The Other Side,2014,85.0,Thriller,5.4,8100.0,0.0,8100.0,Thriller,,
1178,The Other Side,2011,105.0,Crime,8.2,8100.0,0.0,8100.0,Crime,,
1179,The Other Side,2014,103.0,"Drama,Horror,Thriller",3.0,8100.0,0.0,8100.0,Drama,Horror,Thriller
2771,The Other Side of Hope,2017,100.0,"Comedy,Drama",7.2,184000.0,0.0,184000.0,Comedy,Drama,
2363,The Other Side of the Door,2016,96.0,Horror,5.3,3000000.0,11300000.0,14300000.0,Horror,,
2362,The Other Side of the Door,2014,90.0,Drama,3.8,3000000.0,11300000.0,14300000.0,Drama,,
1580,The Other Son,2012,105.0,Drama,7.4,1300000.0,0.0,1300000.0,Drama,,
1713,The Other Woman,2014,109.0,"Comedy,Romance",6.0,25400.0,427000.0,452400.0,Comedy,Romance,
723,The Paperboy,2012,107.0,"Crime,Drama,Mystery",5.8,693000.0,661000.0,1354000.0,Crime,Drama,Mystery
1924,The Past,2013,130.0,"Drama,Mystery",7.8,1300000.0,9300000.0,10600000.0,Drama,Mystery,
1925,The Past,2018,120.0,"Drama,Horror",7.4,1300000.0,9300000.0,10600000.0,Drama,Horror,
987,The Patience Stone,2012,102.0,"Drama,War",7.1,149000.0,0.0,149000.0,Drama,War,
1950,The Peanuts Movie,2015,88.0,"Adventure,Animation,Comedy",7.1,130199999.0,116100000.0,246299999.0,Adventure,Animation,Comedy
2553,The People vs. Fritz Bauer,2015,105.0,"Biography,Drama,Thriller",7.1,288000.0,0.0,288000.0,Biography,Drama,Thriller
2468,The Perfect Guy,2015,100.0,"Crime,Drama,Horror",5.6,57000000.0,3200000.0,60200000.0,Crime,Drama,Horror
